
default_KNN_100 0.957 0.917 0.950 0.960
default_DTC_100 0.943 0.913 0.943 0.897
default_RF_100 0.987 0.953 0.973 0.970
default_SVM_100 1.000 1.000 1.000 1.000
smac_KNN_100 0.130 0.130 0.133 0.128
smac_DTC_100 0.183 0.263 0.222 0.178
smac_RF_100 0.119 0.085 0.144 0.080
smac_SVM_100 0.302 0.284 0.247 0.151
random_KNN_100 0.963 0.987 0.920 0.957
random_DTC_100 0.987 0.993 0.987 1.000
random_RF_100 1.000 1.000 1.000 1.000
random_SVM_100 0.600 0.577 0.613 0.663
de_KNN_100 0.947 0.943 0.977 0.943
de_DTC_100 0.993 0.993 1.000 0.977
de_RF_100 1.000 1.000 1.000 1.000
de_SVM_100 0.723 0.437 0.863 0.617
grid_KNN_100 0.960 0.970 0.940 0.950
grid_DTC_100 1.000 0.993 0.987 1.000
grid_RF_100 1.000 1.000 1.000 1.000
grid_SVM_100 0.863 0.863 0.520 0.700
